,idPolair,nom_station,coord_x_l93,coord_y_l93,X_lamb2,Y_lamb2,LON,LAT,Département,Zone_EPCI,typologie,NO2_influence,NO2_2012,NO2_2013,NO2_2014,NO2_2015,NO2_2016,NO2_2017,O3_influence,O3_2012,O3_2013,O3_2014,O3_2015,O3_2016,O3_2017,PM10_influence,PM10_2012,PM10_2013,PM10_2014,PM10_2015,PM10_2016,PM10_2017,PM25_influence,PM25_2012,PM25_2013,PM25_2014,PM25_2015,PM25_2016,PM25_2017
10,15049,Grenoble Caserne de Bonne,913996.8,6457473.0,,,,,Isère,CA Grenoble,Urbaine,Fond,,,,,,1.0,Fond,,,,,,1.0,Fond,,,,,,1.0,Fond,,,,,,1.0
11,20004,Lyon_Saint_Just,841494.81,6518939.5,793225.75,2086947.66,4.82033502885678,45.7553780343702,Rhône,CU Lyon,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,,Fond,1.0,1.0,1.0,1.0,1.0,,NA,,,,,,,NA,,,,,,
12,20013,A7_Sud_lyonnais,841416.0,6515017.0,793180.19,2083021.53,4.81815975619577,45.7200821403937,Rhône,CU Lyon,Peri-Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,Trafic,1.0,1.0,1.0,1.0,1.0,1.0
13,20017,Lyon_Gerland,842281.88,6516733.0,794032.3,2084746.45,4.82979940475559,45.7353502795642,Rhône,CU Lyon,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
14,20019,Grandclement,846607.0,6519397.5,798338.29,2087449.79,4.88621965315915,45.7584207843674,Rhône,CU Lyon,Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
15,20029,Feyzin,843714.38,6508834.0,795533.06,2076852.73,4.84584100027,45.6639400249965,Rhône,CU Lyon,Peri-Urbaine,Industrielle,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Industrielle,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
16,20031,Saint_Fons,845050.88,6513738.0,796829.32,2081772.47,4.86448738598341,45.7078048570591,Rhône,CU Lyon,Urbaine,Industrielle,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Industrielle,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
17,20037,Ternay,840500.94,6501870.5,792376.75,2069856.11,4.80254136867902,45.601920244234,Rhône,CC Pays de l'Ozon,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
18,20045,Genas,854011.38,6516631.0,805772.44,2084744.69,4.98055151477702,45.7318838739714,Rhône,CU Lyon,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
19,20046,Vaulx_en_Velin,849559.13,6521750.5,801272.75,2089831.12,4.92492418945623,45.7789616497102,Rhône,CU Lyon,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0
20,20047,Cotiere_Ain,851693.06,6526726.5,803366.09,2094828.74,4.95396263141586,45.8232846058291,Ain,CC Miribel,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
21,20048,Saint_Exupery,861081.13,6519223.0,812826.48,2087399.46,5.07230067595754,45.7535832375506,Rhône,CC Est Lyonnais,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
22,20049,Haut_Beaujolais,813508.88,6541248.5,765025.39,2109038.05,4.46571458124507,45.9614690855089,Rhône,CC Pays de Tarare,Rurale,Fond,1.0,1.0,1.0,1.0,1.0,,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,NA,,,,,,
23,20061,Villefranche_Village,833082.75,6544417.0,784589.01,2112375.88,4.71928428645352,45.9864408618637,Rhône,CA Villefranche-sur-Saône,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0
24,20062,Lyon_Centre,844083.0,6519290.0,795814.0,2087321.0,4.85372588830775,45.7579912279674,Rhône,CU Lyon,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0
25,20063,Lyon_Periph_Est,847459.4,6516075.0,799220.0,2084132.0,4.89615597938942,45.7283268415467,Rhône,CU Lyon,Urbaine,Trafic,1.0,1.0,1.0,,,,NA,,,,,,,Trafic,1.0,1.0,1.0,,,,NA,,,,,,
26,20065,Tunnel_Croix_Rousse,842741.38,6520868.5,794456.37,2088889.01,4.83694364932283,45.7724838695706,Rhône,CU Lyon,Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,Trafic,1.0,1.0,1.0,,,
27,20069,Lyon_Periph,847526.0,6521231.0,799242.4,2089293.9,4.89860588906242,45.7747281944452,Rhône,CU Lyon,Urbaine,Trafic,,,,1.0,1.0,1.0,NA,,,,,,,Trafic,,,,1.0,1.0,1.0,NA,,,,,,
28,20070,Lyon_Jean_Jaures,843379.61,6518354.73,795117.0,2086379.0,4.84439858489472,45.7497198490607,Rhône,CU Lyon,Urbaine,Trafic,,,,,1.0,1.0,NA,,,,,,,Trafic,,,,,1.0,1.0,NA,,,,,,
29,27002,Roussillon,841298.0,6475884.0,793397.0,2043852.0,4.80514335219591,45.3678181367475,Isère,CC Pays Roussillonnais,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
30,27003,Roches_Condrieu_ZI,838060.56,6485448.5,790074.94,2053397.74,4.76653075489913,45.4545794139461,Isère,CC Pays Roussillonnais,Peri-Urbaine,Industrielle,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,NA,,,,,,
31,27004,Vienne_Centre,846380.06,6493577.5,798331.94,2061605.09,4.87541260516335,45.5260313669784,Isère,CA Pays Viennois,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,,Fond,1.0,1.0,1.0,1.0,1.0,,Fond,1.0,1.0,1.0,1.0,1.0,,Fond,1.0,1.0,1.0,,,
32,27005,Sud_roussillonnais_Sablons,838715.0,6470719.0,790855.35,2038661.05,4.77067615786044,45.321848636946,Isère,CC Pays Roussillonnais,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,NA,,,,,,
33,27007,Bourgoin_Jallieu,876976.44,6503517.5,828870.14,2071816.84,5.27087594258197,45.6082752161536,Isère,CA Porte de l'Isère,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
34,27008,A7_Nord_Isere,841310.25,6474265.5,793422.44,2042232.46,4.80482726862609,45.3532456733247,Isère,CC Pays Roussillonnais,Peri-Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,Trafic,1.0,1.0,1.0,1.0,1.0,1.0
35,27010,Plateau_Bonnevaux,870432.0,6486960.0,822462.56,2055188.31,5.18107755198042,45.4609000616881,Isère,CC de la Région Saint Jeannaise,Rurale,Fond,,,1.0,1.0,1.0,1.0,Fond,,,1.0,1.0,1.0,1.0,NA,,,,,,,NA,,,,,,
36,29421,Saint_Etienne_Nord,808596.06,6486214.5,760576.95,2053913.02,4.38978357416198,45.466777921426,Loire,CA Saint-Etienne,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,,,Fond,1.0,1.0,1.0,1.0,,,Fond,1.0,1.0,1.0,1.0,,,NA,,,,,,
37,29423,Roanne,783105.81,6549622.0,734525.19,2117159.32,4.07465531312587,46.0412660576069,Loire,CA Grand Roanne,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
38,29424,Saint_Etienne_Sud,809128.38,6481044.5,761153.48,2048742.92,4.39542551418448,45.4201468548152,Loire,CA Saint-Etienne,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0
39,29426,Saint_Chamond,818361.38,6487350.0,770341.02,2055133.27,4.51500693125993,45.475383651017,Loire,CA Saint-Etienne,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0
40,29428,N88_Saint_Etienne,810481.63,6481279.5,762506.7,2048990.67,4.41277962158662,45.4220459251509,Loire,CA Saint-Etienne,Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,Trafic,1.0,1.0,1.0,1.0,1.0,1.0
41,29429,A47_Vallee_Gier,826738.31,6493970.0,778669.01,2061830.49,4.62394352298533,45.5334836404472,Loire,CA Saint-Etienne,Peri-Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
42,29439,Talaudiere,811700.88,6487916.5,763670.21,2055644.0,4.42990406905113,45.4816022248853,Loire,CA Saint-Etienne,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
43,29440,Col_Oeillon,826431.25,6477979.0,778498.13,2045822.81,4.61581788227266,45.3895777777395,Loire,CC Monts du Pilat,Rurale,Fond,,1.0,1.0,1.0,1.0,,Fond,,1.0,1.0,1.0,1.0,,Fond,,1.0,1.0,1.0,1.0,,NA,,,,,,
44,29441,Saint_Etienne_Bld_Urbain,808553.2,6484124.71,760551.86,2051821.47,4.38876485044241,45.4479698653095,Loire,CA Saint-Etienne,Urbaine,Trafic,,,,,1.0,1.0,NA,,,,,,,Trafic,,,,,1.0,1.0,NA,,,,,,
45,33101,Chambery_Pasteur,928381.38,6500356.5,880348.09,2069093.93,5.92843872282466,45.5645894037731,Savoie,CA Chambéry,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0
46,33102,Chambery_le_Haut,927488.38,6503902.0,879423.77,2072635.39,5.91867825686565,45.5967915420218,Savoie,CA Chambéry,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
47,33111,Saint_Jean_de_Maurienne,962573.5,6469502.0,914838.21,2038507.1,6.34960311966293,45.2747405476292,Savoie,CC Saint-Jean-de-Maurienne,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
48,33114,A43_Vallee_Maurienne,966396.06,6467144.0,918684.1,2036179.96,6.39701380952609,45.2520577724439,Savoie,CC Saint-Jean-de-Maurienne,Peri-Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
49,33120,Chamonix,999806.44,6543226.5,951465.02,2112618.48,6.86992915340265,45.9225977721114,Haute-Savoie,CC Chamonix,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
50,33121,Albertville,963798.88,6514057.0,915679.23,2083112.63,6.38959988059594,45.6751055023423,Savoie,CC Région d'Albertville,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
51,33122,La_Lechere,970818.38,6498881.0,922835.64,2067983.85,6.47111334368611,45.5358328066283,Savoie,CC  Vallées d’Aigueblanche,Rurale,NA,,,,,,,NA,,,,,,,Industrielle,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
52,33201,Annecy_Loverchy,941741.13,6537625.5,893398.51,2106511.72,6.11843627263312,45.8953404802256,Haute-Savoie,CA Annecy,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0
53,33202,Annecy_Novel,942979.69,6540088.0,894617.34,2108986.54,6.13565761863809,45.9170561578232,Haute-Savoie,CA Annecy,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
54,33211,Annemasse,949836.94,6571343.5,901210.41,2140328.2,6.24059733615792,46.1957870439324,Haute-Savoie,CA Annemasse,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,,1.0,1.0,1.0,1.0,1.0,Fond,,1.0,1.0,1.0,1.0,1.0
55,33212,Gaillard,947876.5,6571054.5,899251.8,2140021.41,6.21504442758344,46.1939082547398,Haute-Savoie,CA Annemasse,Urbaine,Fond,1.0,1.0,1.0,,,,Fond,1.0,1.0,1.0,,,,Fond,1.0,1.0,1.0,,,,Fond,1.0,1.0,1.0,,,
56,33220,Passy,987702.56,6542748.5,939355.78,2112036.28,6.71363632102651,45.9235302935851,Haute-Savoie,CC Pays du Mont-Blanc,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,,,,,1.0,1.0
57,33232,Chamonix_Route_Blanche,997966.25,6541370.5,949639.52,2110744.94,6.84504779377001,45.9067137632625,Haute-Savoie,CC Chamonix,Peri-Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
58,33302,St_Germain_sur_Rhone,917976.63,6556403.5,869452.43,2125100.11,5.8208004480769,46.0723617538942,Haute-Savoie,CC Semine,Rurale,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,,,1.0,1.0,1.0,1.0
59,33305,Bourg_en_Bresse,871630.19,6570401.5,822946.34,2138711.82,5.22650494906006,46.2116846196411,Ain,CA Bourg-en-Bresse,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
60,33414,Termignon,1001821.31,6469846.0,954118.66,2039191.35,6.84975265180596,45.2617298137759,Savoie,CC Haute-Maurienne,Rurale,NA,,,,,,,Fond,1.0,,,,,,NA,,,,,,,NA,,,,,,
61,33105,Chambery_trafic,928721.0,6500909.0,880683.0,2069650.0,5.93305255763071,45.5694476168928,Savoie,CA Chambéry,Urbaine,Trafic,,,,1.0,1.0,1.0,NA,,,,,,,Trafic,,,,1.0,1.0,1.0,NA,,,,,,
62,33203,Annecy_Rocade,941614.0,6539202.0,893257.76,2108088.12,6.11760052954422,45.9095708730344,Haute-Savoie,CA Agglomération d'Annecy,Urbaine,Trafic,,,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,,,1.0,1.0,1.0,1.0,NA,,,,,,
63,33233,Aiguille_du_midi,1001389.19,6538413.0,953091.11,2107815.07,6.88727020442611,45.8786050447586,Haute-Savoie,CC Chamonix,Rurale,NA,,,,,,,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,NA,,,,,,
64,33235,Sallanches,981599.0,6543754.0,933238.0,2112988.0,6.63556179418767,45.9351317424603,Haute-Savoie,CC Pays du Mont-Blanc,Urbaine,NA,,,,,,,NA,,,,,,,Fond,,,,1.0,1.0,,NA,,,,,,
65,33367,Marnaz,973085.0,6556996.5,924598.51,2126167.5,6.53343645756702,46.0577357349647,Haute-Savoie,CC Cluses,Peri-Urbaine,NA,,,,,,,NA,,,,,,,Fond,,,,1.0,,,NA,,,,,,
66,33213,Annemass_trafic,949969.9,6570774.43,900848.0,2139755.0,6.24201711335048,46.1906178436445,Haute-Savoie,CA Annemasse,Urbaine,Trafic,,,,,1.0,1.0,NA,,,,,,,Trafic,,,,,1.0,1.0,NA,,,,,,
67,33303,Fernay_Voltaire,939708.0,6577607.0,891018.0,2146507.0,6.11255594762526,46.255811348883,Ain,CC Pays de Gex,Urbaine,Fond,,,,,,1.0,Fond,,,,,,1.0,Fond,,,,,,1.0,NA,,,,,,
68,33374,Magland_virt,979986.82,6553150.64,931543.0,2122380.0,6.62033530541664,46.0203252615991,Haute-Savoie,CC Cluses,Peri-Urbaine,Fond,,,,,1.0,,NA,,,,,,,Fond,,,,,1.0,,NA,,,,,,
69,36001,Valence_Sud,848179.06,6420774.0,800755.23,1988750.46,4.87629283650714,44.8702983530269,Drôme,CA Valence,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
70,36002,Valence_urbain_centre,849368.0,6427832.0,801885.0,1995825.28,4.89348451189213,44.9335713527395,Drôme,CA Valence,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,,,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0
71,36003,A7_Valence,849043.06,6429536.0,801545.09,1997528.1,4.88988383683457,44.9489791558173,Drôme,CA Valence,Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,Trafic,1.0,1.0,1.0,1.0,1.0,1.0
72,36005,Drome_rurale_Sud,866080.2,6382394.9,819002.85,1950487.5,5.0900025414264,44.5208388046363,Drôme,CC Pays de Dieulefit,Rurale,Fond,1.0,1.0,,,,,Fond,1.0,1.0,,,,,Fond,1.0,1.0,,,,,Fond,1.0,1.0,,,,
73,36019,Romans_sur_Isere,860936.44,6440194.0,813357.97,2008297.83,5.04412630298019,45.0422439491394,Drôme,CA Pays de Romans,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
74,36021,Drome_rurale_Sud_SND,880936.0,6388208.0,833822.94,1956433.5,5.27896362076223,44.569450911447,Drôme,CC du Diois,Rurale,Fond,,,1.0,1.0,1.0,1.0,Fond,,,1.0,1.0,1.0,1.0,Fond,,,1.0,1.0,1.0,1.0,Fond,,,1.0,1.0,1.0,1.0
75,07009,Clermont_Lecoq,706799.22,6519176.74,658411.0,2086041.0,3.08749101733551,45.7721676213764,Puy-de-Dôme,Non renseigné,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
76,07004,Clermont_Montferrand,708842.03,6521968.05,660432.0,2088852.0,3.11382923792873,45.7972796079442,Puy-de-Dôme,Non renseigné,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0
77,07001,Clermont_Royat,703667.89,6518340.92,655284.0,2085178.0,3.04719126856885,45.764665204771,Puy-de-Dôme,Non renseigné,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,NA,,,,,,
78,07034,Clermont_Esplanade,707478.94,6519568.65,659088.0,2086439.0,3.0962436582032,45.7756896049346,Puy-de-Dôme,Non renseigné,Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,Trafic,1.0,1.0,1.0,1.0,1.0,1.0
79,07039,Clermont_Chamalieres,704892.29,6519461.6,656500.0,2086310.0,3.06295595440028,45.7747491121998,Puy-de-Dôme,Non renseigné,Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
80,07042,Clermont_A71,711088.34,6520462.37,662693.0,2087364.0,3.14271236700315,45.7836882709065,Puy-de-Dôme,Non renseigné,Peri-Urbaine,Trafic,1.0,,,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,,,1.0,1.0,1.0,NA,,,,,,
81,07051,Clermont_Beaulieu,712140.04,6518760.97,663760.0,2085670.0,3.15620490869609,45.7683494487283,Puy-de-Dôme,Non renseigné,Peri-Urbaine,Industrielle,,,,1.0,1.0,1.0,Fond,,,,,1.0,1.0,Industrielle,,,,1.0,1.0,1.0,NA,,,,,,
82,07053,Clermont_Michelin,708669.34,6520094.14,660275.0,2086975.0,3.11157200286151,45.7804074764552,Puy-de-Dôme,Non renseigné,Urbaine,Trafic,,,,,1.0,1.0,NA,,,,,,,NA,,,,,,,NA,,,,,,
83,07032,Riom,708920.91,6532730.02,660420.0,2099624.0,3.11504656849807,45.8941891051057,Puy-de-Dôme,Non renseigné,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,NA,,,,,,
84,07045,Issoire,719368.52,6494021.63,671204.0,2060970.0,3.24821206670145,45.5454102528296,Puy-de-Dôme,Non renseigné,Urbaine,Fond,,,1.0,1.0,1.0,1.0,Fond,,1.0,1.0,1.0,1.0,1.0,Fond,,,1.0,1.0,1.0,1.0,NA,,,,,,
85,07028,Ancizes,686811.11,6536680.23,638258.0,2103391.0,2.82980269842554,45.9296909834393,Puy-de-Dôme,Non renseigné,Peri-Urbaine,NA,,,,,,,NA,,,,,,,Industrielle,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
